"報名","日期","版次","系統代碼","標題","廣告主","分類","品牌","影像URL"
"社會日報","1940-01-01","3","578339","砒製梅毒特效藥","信誼化學製藥廠","中西藥業  ","新惜花散  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578339"
"社會日報","1940-01-02","2/3","578404","專治小兒胎毒濕毒","黃惠光","中西藥業  ","黃惠光  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578404"
"社會日報","1940-01-02","4","578384","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578384"
"社會日報","1940-01-02","2/3","578411","內外兒科花柳各科","顧新漁","中西藥業  ","顧新漁  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578411"
"社會日報","1940-01-03","2/3","578422","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578422"
"社會日報","1940-01-03","3","578433","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578433"
"社會日報","1940-01-04","2/3","578447","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578447"
"社會日報","1940-01-05","2/3","578469","專治花柳生殖泌尿科","克倫醫院","中西藥業  ","克倫醫院  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578469"
"社會日報","1940-01-05","3","578477","德國白濁專藥","德國戚爾鄧大藥房、上海柯爾登洋行","中西藥業  ","梅濁剋星  ","https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E7%A4%BE%E6%9C%83%E6%97%A5%E5%A0%B1&listNo=578477"
"蘇州新報","1940-01-05","06","1671509","強身保腎丸 國藥淋濁丸 濟羣大藥社","廣告",,,"https://mhdb.mh.sinica.edu.tw/newsp/image.php?kind=%E8%98%87%E5%B7%9E%E6%96%B0%E5%A0%B1&listNo=1671509"
